Model,Make,Year,atvType,cylinders,displ,trany,VehicleID,AdjWeight,comb08,combinedUF,combE,highway08U,rangeHwyA,RangeHwy,Range,city08U,UCity,UHighway
F-Type Convertible,Jaguar,2017,ICE,6.0,3.0,Manual 6-spd,37320,4208.333333333333,19.0,0.0,0.0,23.9706,0.0,0.0,0.0,15.8028,19.6,33.6
F-Type S Coupe,Jaguar,2017,ICE,6.0,3.0,Manual 6-spd,37321,4208.333333333333,18.0,0.0,0.0,23.574699999999996,0.0,0.0,0.0,15.4251,19.1,33.0
F-Type S Convertible,Jaguar,2017,ICE,6.0,3.0,Manual 6-spd,37322,4208.333333333333,18.0,0.0,0.0,23.574699999999996,0.0,0.0,0.0,15.4251,19.1,33.0
Mirage G4,Mitsubishi,2017,ICE,3.0,1.2,Manual 5-spd,37338,2455.357142857143,35.0,0.0,0.0,39.7448,0.0,0.0,0.0,32.6414,43.7032,58.9226
Mirage G4,Mitsubishi,2017,ICE,3.0,1.2,Automatic (variable gear ratios),37339,2455.357142857143,37.0,0.0,0.0,41.51,0.0,0.0,0.0,34.6047,46.7653,61.9391
Elantra GT,Hyundai,2017,ICE,4.0,2.0,Manual 6-spd,37340,3198.660714285714,27.0,0.0,0.0,32.4088,0.0,0.0,0.0,23.8077,30.5997,46.7923
X3 sDrive28i,BMW,2017,ICE,4.0,2.0,Automatic (S8),37343,4416.666666666667,24.0,0.0,0.0,27.6457,0.0,0.0,0.0,21.0971,26.786600000000004,39.2499
X3 xDrive28i,BMW,2017,ICE,4.0,2.0,Automatic (S8),37344,4416.666666666667,24.0,0.0,0.0,27.6457,0.0,0.0,0.0,21.0971,26.786600000000004,39.2499
X3 xDrive35i,BMW,2017,ICE,6.0,3.0,Automatic (S8),37345,4416.666666666667,21.0,0.0,0.0,25.933900000000005,0.0,0.0,0.0,18.5614,23.3025,36.6003
X4 M40i,BMW,2017,ICE,6.0,3.0,Automatic (S8),37346,4500.0,21.0,0.0,0.0,25.9339,0.0,0.0,0.0,18.5614,23.3025,36.6003
Elantra GT,Hyundai,2017,ICE,4.0,2.0,Automatic (S6),37353,3198.660714285714,27.0,0.0,0.0,32.0405,0.0,0.0,0.0,23.9481,30.7997,46.2
Sedona,Kia,2017,ICE,6.0,3.3,Automatic (S6),37354,4833.333333333333,20.0,0.0,0.0,24.1681,0.0,0.0,0.0,17.821,22.3,33.9
Sedona SX,Kia,2017,ICE,6.0,3.3,Automatic (S6),37355,4833.333333333333,21.0,0.0,0.0,24.6935,0.0,0.0,0.0,18.1909,22.8,34.7
Sedona SXL,Kia,2017,ICE,6.0,3.3,Automatic (S6),37356,4833.333333333333,19.0,0.0,0.0,22.3807,0.0,0.0,0.0,16.6294,20.7,31.2
Escape FWD,Ford,2017,ICE,4.0,2.5,Automatic (S6),37357,3958.3333333333335,24.0,0.0,0.0,29.1471,0.0,0.0,0.0,21.1786,26.899999999999995,41.6
Escape FWD,Ford,2017,ICE,4.0,1.5,Automatic (S6),37358,3958.3333333333335,26.0,0.0,0.0,30.0,0.0,0.0,0.0,23.1035,29.600000000000005,43.79999999999999
Escape FWD,Ford,2017,ICE,4.0,2.0,Automatic (S6),37359,3958.3333333333335,25.0,0.0,0.0,29.401,0.0,0.0,0.0,22.1096,28.2,42.0
Escape FWD FFV,Ford,2017,FCV,4.0,2.5,Automatic (S6),37360,3958.3333333333335,24.0,0.0,0.0,29.1471,0.0,0.0,0.0,21.1786,26.899999999999995,41.6
MKC FWD,Lincoln,2017,ICE,4.0,2.0,Automatic (S6),37361,4250.0,23.0,0.0,0.0,28.0,0.0,0.0,0.0,21.0,28.2,42.0
Escape AWD,Ford,2017,ICE,4.0,2.0,Automatic (S6),37362,3958.3333333333335,23.0,0.0,0.0,27.1133,0.0,0.0,0.0,20.4982,25.956599999999998,38.4224
Escape AWD,Ford,2017,ICE,4.0,1.5,Automatic (S6),37363,3958.3333333333335,24.0,0.0,0.0,28.0,0.0,0.0,0.0,21.8032,27.771,40.6089
MKC AWD,Lincoln,2017,ICE,4.0,2.3,Automatic (S6),37364,4250.0,21.0,0.0,0.0,24.9129,0.0,0.0,0.0,17.9452,22.4676,35.0349
