California County,Attribute,Value
Modoc ,Other/Multiple,0.898987313
Mono ,White,65.04432075
Mono ,Hispanic,27.01151083
Mono ,AfricanAmerican,0.410428372
Mono ,AsianAmerican,2.534346611
Mono ,NativeAmerican,1.690828791
Mono ,Other/Multiple,3.309440252
Monterey ,White,29.9336899
Monterey ,Hispanic,58.6727423
Monterey ,AfricanAmerican,2.477555779
Monterey ,AsianAmerican,5.843948294
Monterey ,NativeAmerican,0.189148243
Monterey ,Other/Multiple,2.882266514
Napa ,White,52.43378161
Napa ,Hispanic,34.05085924
Napa ,AfricanAmerican,1.990650179
Napa ,AsianAmerican,8.222093781
Napa ,NativeAmerican,0.291670069
Napa ,Other/Multiple,3.008626731
Nevada ,White,85.15770817
Nevada ,Hispanic,9.44486508
Nevada ,AfricanAmerican,0.482330418
Nevada ,AsianAmerican,1.17639424
Nevada ,NativeAmerican,0.415196385
Nevada ,Other/Multiple,3.32535448
Orange ,White,40.58862265
Orange ,Hispanic,34.05022384
Orange ,AfricanAmerican,1.618472913
Orange ,AsianAmerican,20.5769368
Orange ,NativeAmerican,0.192994712
Orange ,Other/Multiple,2.97344987
Placer ,White,72.65732755
Placer ,Hispanic,13.99955892
Placer ,AfricanAmerican,1.649495554
Placer ,AsianAmerican,7.557743027
Placer ,NativeAmerican,0.356038307
Placer ,Other/Multiple,3.777736102
Plumas ,White,83.14088532
Plumas ,Hispanic,8.949742229
Plumas ,AfricanAmerican,0.755958735
Plumas ,AsianAmerican,1.597388532
Plumas ,NativeAmerican,1.43693462
Plumas ,Other/Multiple,4.122737406
Riverside ,White,35.3193565
Riverside ,Hispanic,48.91194862
Riverside ,AfricanAmerican,6.102834461
Riverside ,AsianAmerican,6.586121623
Riverside ,NativeAmerican,0.42973974
Riverside ,Other/Multiple,2.650599497
Sacramento ,White,44.72345188
Sacramento ,Hispanic,23.17531622
Sacramento ,AfricanAmerican,9.49121881
Sacramento ,AsianAmerican,16.55994957
Sacramento ,NativeAmerican,0.364397072
Sacramento ,Other/Multiple,5.686853629
San Benito,White,34.29115095
San Benito,Hispanic,59.76136611
San Benito,AfricanAmerican,0.751892639
San Benito,AsianAmerican,2.964559759
San Benito,NativeAmerican,0.308777826
San Benito,Other/Multiple,1.924718266
San Bernardino,White,28.52754868
San Bernardino,Hispanic,53.32046383
San Bernardino,AfricanAmerican,7.8799543
San Bernardino,AsianAmerican,7.274200703
San Bernardino,NativeAmerican,0.361967277
San Bernardino,Other/Multiple,2.635835821
San Diego,White,45.55853422
San Diego,Hispanic,33.70023894
San Diego,AfricanAmerican,4.707263848
San Diego,AsianAmerican,12.01461044
San Diego,NativeAmerican,0.376026532
San Diego,Other/Multiple,3.644005862
San Francisco,White,40.50722616
San Francisco,Hispanic,15.23612966
San Francisco,AfricanAmerican,5.003660472
San Francisco,AsianAmerican,34.4066881
San Francisco,NativeAmerican,0.186605963
San Francisco,Other/Multiple,4.659306655
San Joaquin,White,31.84902315
San Joaquin,Hispanic,41.40393179
San Joaquin,AfricanAmerican,6.737588927
San Joaquin,AsianAmerican,15.74726544
San Joaquin,NativeAmerican,0.228764952
San Joaquin,Other/Multiple,4.034678435
San Luis Obispo,White,68.88681846
San Luis Obispo,Hispanic,22.51656233
San Luis Obispo,AfricanAmerican,1.739667464
San Luis Obispo,AsianAmerican,3.625968246
San Luis Obispo,NativeAmerican,0.5352739
San Luis Obispo,Other/Multiple,2.694784824
San Mateo,White,39.23830128
San Mateo,Hispanic,24.39929467
San Mateo,AfricanAmerican,2.178259865
San Mateo,AsianAmerican,29.62913617
San Mateo,NativeAmerican,0.151105987
San Mateo,Other/Multiple,4.404106718
Santa Barbara,White,44.50947465
Santa Barbara,Hispanic,45.37382457
Santa Barbara,AfricanAmerican,1.891093049
Santa Barbara,AsianAmerican,5.455889589
Santa Barbara,NativeAmerican,0.359984646
Santa Barbara,Other/Multiple,2.410461638
Santa Clara,White,31.53909939
Santa Clara,Hispanic,25.47277701
Santa Clara,AfricanAmerican,2.348324835
Santa Clara,AsianAmerican,36.60326641
Santa Clara,NativeAmerican,0.174707503
Santa Clara,Other/Multiple,3.862393428
Santa Cruz,White,57.26840438
Santa Cruz,Hispanic,33.57323768
Santa Cruz,AfricanAmerican,0.909169337
Santa Cruz,AsianAmerican,4.636471481
Santa Cruz,NativeAmerican,0.146098656
Santa Cruz,Other/Multiple,3.464499639
Shasta ,White,79.80075425
Shasta ,Hispanic,10.03005463
Shasta ,AfricanAmerican,1.132510881
Shasta ,AsianAmerican,3.341808975
Shasta ,NativeAmerican,2.182367866
Shasta ,Other/Multiple,3.510994576
Sierra ,White,87.57
Sierra ,Hispanic,10.66
Sierra ,AfricanAmerican,0.07
Sierra ,AsianAmerican,0
Sierra ,NativeAmerican,0.95
Sierra ,Other/Multiple,0.76
Siskiyou ,White,76.10497055
Siskiyou ,Hispanic,12.57779953
Siskiyou ,AfricanAmerican,1.57313403
Siskiyou ,AsianAmerican,1.888056731
Siskiyou ,NativeAmerican,3.194696558
Siskiyou ,Other/Multiple,4.662257293
Solano ,White,38.03722904
Solano ,Hispanic,26.45141756
Solano ,AfricanAmerican,13.50122348
Solano ,AsianAmerican,15.87838356
Solano ,NativeAmerican,0.284175801
Solano ,Other/Multiple,5.847613353
Sonoma ,White,63.23348765
Sonoma ,Hispanic,26.7260455
Sonoma ,AfricanAmerican,1.480978046
Sonoma ,AsianAmerican,4.31543768
Sonoma ,NativeAmerican,0.468538574
Sonoma ,Other/Multiple,3.776188942
Stanislaus ,White,41.85823938
Stanislaus ,Hispanic,46.25547813
Stanislaus ,AfricanAmerican,2.818387059
Stanislaus ,AsianAmerican,6.058391495
Stanislaus ,NativeAmerican,0.456693005
Stanislaus ,Other/Multiple,2.552194943
Sutter ,White,46.20978566
Sutter ,Hispanic,30.95246408
Sutter ,AfricanAmerican,1.753076923
Sutter ,AsianAmerican,15.9091391
Sutter ,NativeAmerican,0.649799915
Sutter ,Other/Multiple,4.525330822
Tehama ,White,68.34168294
Tehama ,Hispanic,24.96759889
Tehama ,AfricanAmerican,0.73854065
Tehama ,AsianAmerican,1.534238954
Tehama ,NativeAmerican,1.390992302
Tehama ,Other/Multiple,3.020731787
Trinity ,White,82.10220315
Trinity ,Hispanic,7.297992913
Trinity ,AfricanAmerican,1.000352756
Trinity ,AsianAmerican,1.872586614
Trinity ,NativeAmerican,5.497576378
Trinity ,Other/Multiple,2.229288189
Tulare ,White,28.51570321
Tulare ,Hispanic,64.56838172
Tulare ,AfricanAmerican,1.252427852
Tulare ,AsianAmerican,3.371894249
Tulare ,NativeAmerican,0.602678405
Tulare ,Other/Multiple,1.687176649
Tuolumne ,White,80.19528615
Tuolumne ,Hispanic,12.24339051
Tuolumne ,AfricanAmerican,1.752902211
Tuolumne ,AsianAmerican,1.581963734
Tuolumne ,NativeAmerican,1.413973726
Tuolumne ,Other/Multiple,2.81453918
Ventura ,White,45.41913363
Ventura ,Hispanic,42.67876182
Ventura ,AfricanAmerican,1.687133617
Ventura ,AsianAmerican,7.333019605
Ventura ,NativeAmerican,0.23826329
Ventura ,Other/Multiple,2.64376857
Yolo ,White,46.67674602
Yolo ,Hispanic,31.61043064
Yolo ,AfricanAmerican,2.428582622
Yolo ,AsianAmerican,14.2789338
Yolo ,NativeAmerican,0.304500028
Yolo ,Other/Multiple,4.700652812
Yuba ,White,55.19091029
Yuba ,Hispanic,28.23784573
Yuba ,AfricanAmerican,3.344935437
Yuba ,AsianAmerican,7.033089183
Yuba ,NativeAmerican,0.777578575
Yuba ,Other/Multiple,5.413081718
