level_0,Model,Make,Year,AdjWeight,match_index,baseModel,displ,cylinders,trany,comb08,combinedUF,combE,highway08,city08,UCity,UHighway,atvType,rangeHwyA,RangeHwy,Range,MFRCode,VehicleID
33.0,Boxster,Porsche,2000,3218.75,1955.0,boxster,2.7,6.0,Automatic 5-spd,18,0.0,0.0,23,16,19.4354,31.543,ICE,0.0,0.0,0,,33
34.0,Boxster,Porsche,2000,3218.75,1955.0,boxster,2.7,6.0,Manual 5-spd,20,0.0,0.0,25,17,21.5,35.1,ICE,0.0,0.0,0,,34
35.0,Boxster S,Porsche,2000,3343.75,1956.0,boxster,3.2,6.0,Automatic 5-spd,17,0.0,0.0,22,15,18.4222,30.8691,ICE,0.0,0.0,0,,35
36.0,Boxster S,Porsche,2000,3343.75,1956.0,boxster,3.2,6.0,Manual 6-spd,18,0.0,0.0,23,16,19.5,32.7,ICE,0.0,0.0,0,,36
37.0,MR2,Toyota,2000,2625.0,1992.0,mr2,1.8,4.0,Manual 5-spd,24,0.0,0.0,27,22,27.9,38.3,ICE,0.0,0.0,0,,37
38.0,DB-7 Vantage Coupe,Aston Martin,2000,4250.0,1721.0,db-7 vantage,5.9,12.0,Automatic 5-spd,12,0.0,0.0,17,10,12.4,23.9,ICE,0.0,0.0,0,,38
39.0,DB-7 Vantage Coupe,Aston Martin,2000,4250.0,1721.0,db-7 vantage,5.9,12.0,Manual 6-spd,12,0.0,0.0,17,10,12.2654,23.4237,ICE,0.0,0.0,0,,39
40.0,DB-7 Vantage Volante,Aston Martin,2000,4500.0,1722.0,db-7 vantage,5.9,12.0,Automatic 5-spd,12,0.0,0.0,17,10,12.2,23.0,ICE,0.0,0.0,0,,40
41.0,DB-7 Vantage Volante,Aston Martin,2000,4500.0,1722.0,db-7 vantage,5.9,12.0,Manual 6-spd,12,0.0,0.0,17,10,12.1,22.8,ICE,0.0,0.0,0,,41
42.0,TT Coupe quattro,Audi,2000,3375.0,1737.0,tt coupe,1.8,4.0,Manual 5-spd,21,0.0,0.0,26,18,22.5,36.6,ICE,0.0,0.0,0,,42
43.0,323i Convertible,BMW,2000,3875.0,1739.0,3 series,2.5,6.0,Automatic 5-spd,18,0.0,0.0,22,16,19.4,30.7,ICE,0.0,0.0,0,,43
44.0,323i Convertible,BMW,2000,3875.0,1739.0,3 series,2.5,6.0,Manual 5-spd,19,0.0,0.0,23,17,21.0,32.2,ICE,0.0,0.0,0,,44
45.0,XKR Convertible,Jaguar,2000,3875.0,1739.0,xkr,4.0,8.0,Automatic 5-spd,17,0.0,0.0,20,14,17.8741,28.3131,ICE,0.0,0.0,0,,45
46.0,9-3 Convertible,Saab,2000,3875.0,1739.0,9-3,2.0,4.0,Automatic 4-spd,20,0.0,0.0,24,17,21.8,33.0,ICE,0.0,0.0,0,,46
47.0,9-3 Convertible,Saab,2000,3875.0,1739.0,9-3,2.0,4.0,Manual 5-spd,22,0.0,0.0,27,19,23.9,37.5,ICE,0.0,0.0,0,,47
48.0,XK8 Convertible,Jaguar,2000,3375.0,1741.0,xk8,4.0,8.0,Automatic 5-spd,18,0.0,0.0,22,15,18.8,30.7987,ICE,0.0,0.0,0,,48
49.0,CLK320 (Cabriolet),Mercedes-Benz,2000,4000.0,1911.0,clk-class,3.2,6.0,Automatic 5-spd,20,0.0,0.0,25,17,21.6242,35.2966,ICE,0.0,0.0,0,,49
50.0,CLK430 (Cabriolet),Mercedes-Benz,2000,4000.0,1913.0,clk-class,4.3,8.0,Automatic 5-spd,18,0.0,0.0,22,15,19.2,30.5997,ICE,0.0,0.0,0,,50
51.0,911 Carrera,Porsche,2000,3625.0,1954.0,911,3.4,6.0,Automatic 5-spd,18,0.0,0.0,23,15,18.2213,32.3493,ICE,0.0,0.0,0,,51
52.0,911 Carrera,Porsche,2000,3625.0,1954.0,911,3.4,6.0,Manual 6-spd,18,0.0,0.0,23,15,18.9,32.1,ICE,0.0,0.0,0,,52
53.0,Integra,Acura,2000,3017.8571428571427,1871.0,integra,1.8,4.0,Automatic 4-spd,23,0.0,0.0,28,21,26.1883,38.9626,ICE,0.0,0.0,0,,53
54.0,Integra,Acura,2000,3017.8571428571427,1871.0,integra,1.8,4.0,Manual 5-spd,24,0.0,0.0,28,22,28.0294,39.7852,ICE,0.0,0.0,0,,54
55.0,Azure,Bentley,2000,3500.0,1962.0,azure,6.7,8.0,Automatic 4-spd,12,0.0,0.0,15,10,12.3823,20.0411,ICE,0.0,0.0,0,,55
56.0,Continental SC,Bentley,2000,4250.0,1790.0,continental,6.7,8.0,Automatic 4-spd,12,0.0,0.0,15,10,12.3823,20.0411,ICE,0.0,0.0,0,,56
57.0,Continental T,Bentley,2000,4250.0,1790.0,continental,6.7,8.0,Automatic 4-spd,12,0.0,0.0,15,10,12.4896,20.4167,ICE,0.0,0.0,0,,57
58.0,Continental R,Bentley,2000,4250.0,1790.0,continental,6.7,8.0,Automatic 4-spd,12,0.0,0.0,15,10,12.4896,20.4167,ICE,0.0,0.0,0,,58
59.0,Continental,Lincoln,2000,4250.0,1790.0,continental,4.6,8.0,Automatic 4-spd,18,0.0,0.0,23,15,19.145,32.1581,ICE,0.0,0.0,0,,59
60.0,323ci,BMW,2000,3500.0,1738.0,3 series,2.5,6.0,Automatic 5-spd,19,0.0,0.0,25,17,20.6,34.7,ICE,0.0,0.0,0,,60
61.0,323ci,BMW,2000,3500.0,1738.0,3 series,2.5,6.0,Manual 5-spd,21,0.0,0.0,26,18,22.7,36.8,ICE,0.0,0.0,0,,61
62.0,323i,BMW,2000,3500.0,1738.0,3 series,2.5,6.0,Automatic 5-spd,20,0.0,0.0,26,17,21.3,35.6,ICE,0.0,0.0,0,,62
63.0,323i,BMW,2000,3500.0,1738.0,3 series,2.5,6.0,Manual 5-spd,21,0.0,0.0,26,18,22.7,36.8,ICE,0.0,0.0,0,,63
64.0,323i Touring,BMW,2000,3500.0,1738.0,3 series,2.5,6.0,Automatic 5-spd,19,0.0,0.0,25,17,20.6,34.7,ICE,0.0,0.0,0,,64
65.0,323i Touring,BMW,2000,3500.0,1738.0,3 series,2.5,6.0,Manual 5-spd,21,0.0,0.0,26,18,22.7,36.8,ICE,0.0,0.0,0,,65
66.0,328ci,BMW,2000,3500.0,1740.0,3 series,2.8,6.0,Automatic 5-spd,19,0.0,0.0,25,16,20.2,34.2,ICE,0.0,0.0,0,,66
67.0,328ci,BMW,2000,3500.0,1740.0,3 series,2.8,6.0,Manual 5-spd,21,0.0,0.0,26,18,22.7895,37.0222,ICE,0.0,0.0,0,,67
68.0,328i,BMW,2000,3500.0,1740.0,3 series,2.8,6.0,Automatic 5-spd,20,0.0,0.0,25,17,21.1709,35.2,ICE,0.0,0.0,0,,68
69.0,328i,BMW,2000,3500.0,1740.0,3 series,2.8,6.0,Manual 5-spd,21,0.0,0.0,26,18,22.7895,37.0222,ICE,0.0,0.0,0,,69
70.0,Camaro,Chevrolet,2000,3781.25,1836.0,camaro,3.8,6.0,Automatic 4-spd,20,0.0,0.0,26,17,21.0237,36.9159,ICE,0.0,0.0,0,,70
71.0,Camaro,Chevrolet,2000,3781.25,1836.0,camaro,3.8,6.0,Manual 5-spd,21,0.0,0.0,28,17,21.3912,38.8618,ICE,0.0,0.0,0,,71
72.0,Camaro,Chevrolet,2000,3781.25,1836.0,camaro,5.7,8.0,Automatic 4-spd,18,0.0,0.0,23,15,18.4,32.2,ICE,0.0,0.0,0,,72
73.0,Camaro,Chevrolet,2000,3781.25,1836.0,camaro,5.7,8.0,Manual 6-spd,19,0.0,0.0,25,16,20.362,34.8622,ICE,0.0,0.0,0,,73
74.0,Cavalier,Chevrolet,2000,3041.6666666666665,1838.0,cavalier,2.2,4.0,Automatic 3-spd,22,0.0,0.0,26,20,25.1,36.9,ICE,0.0,0.0,0,,74
75.0,Cavalier,Chevrolet,2000,3041.6666666666665,1838.0,cavalier,2.2,4.0,Automatic 4-spd,23,0.0,0.0,29,20,25.7476,40.0,ICE,0.0,0.0,0,,75
76.0,Cavalier,Chevrolet,2000,3041.6666666666665,1838.0,cavalier,2.2,4.0,Manual 5-spd,24,0.0,0.0,31,21,26.5,43.4,ICE,0.0,0.0,0,,76
77.0,Cavalier,Chevrolet,2000,3041.6666666666665,1838.0,cavalier,2.4,4.0,Automatic 4-spd,23,0.0,0.0,28,19,24.5,39.1,ICE,0.0,0.0,0,,77
78.0,Cavalier,Chevrolet,2000,3041.6666666666665,1838.0,cavalier,2.4,4.0,Manual 5-spd,24,0.0,0.0,30,20,25.1,42.5,ICE,0.0,0.0,0,,78
80.0,Metro,Chevrolet,2000,2291.6666666666665,1970.0,metro,1.0,3.0,Manual 5-spd,36,0.0,0.0,41,32,42.9,59.0,ICE,0.0,0.0,0,,80
