Model_y,Make_y,Year,atvType,cylinders,displ,trany,VehicleID,AdjWeight,comb08,combinedUF,combE,highway08U,rangeHwyA,RangeHwy,Range,city08U,UCity,UHighway,battery_assembly,battery_manufacture,vehicle_manufacture,total_embodied,usage,total
GV70 AWD,Genesis,2023,ICE,6.0,3.5,Automatic (S8),45206,4650.0,21.0,0.0,0.0,24.4556,0.0,0.0,0.0,18.5384,23.2713,34.3374,0.0,60000.0,7315984.789111039,8884184.78911104,72693533.5701693,81577718.35928035
Sportage Hybrid AWD,Kia,2023,HEV,4.0,1.6,Automatic (AM-S6),45207,4119.444444444444,38.0,0.0,0.0,37.9799,0.0,0.0,0.0,38.2202,52.1815,49.9036,0.0,60000.0,5781518.307693695,7349718.307693695,41593114.478076905,48942832.7857706
Sportage Hybrid FWD,Kia,2023,HEV,4.0,1.6,Automatic (AM-S6),45208,4119.444444444444,43.0,0.0,0.0,44.31210000000001,0.0,0.0,0.0,42.2521,57.70000000000001,55.6,0.0,60000.0,5781518.307693695,7349718.307693695,36514840.34841454,43864558.65610824
GV80 AWD,Genesis,2023,ICE,4.0,2.5,Automatic (S8),45209,5062.5,22.0,0.0,0.0,24.445,0.0,0.0,0.0,20.4005,25.8216,36.452,0.0,60000.0,7964983.439757986,9533183.439757986,70019966.87289158,79553150.31264956
GV80 AWD,Genesis,2023,ICE,6.0,3.5,Automatic (S8),45210,5062.5,20.0,0.0,0.0,22.7134,0.0,0.0,0.0,18.1909,22.8,31.7,0.0,60000.0,7964983.439757986,9533183.439757986,76611806.35231905,86144989.79207703
Cooper Convertible,MINI,2023,ICE,3.0,1.5,Automatic (AM-S7),45221,3530.208333333333,32.0,0.0,0.0,38.1744,0.0,0.0,0.0,28.732700000000005,37.7728,56.2715,0.0,60000.0,5554182.896571979,7122382.896571979,46696251.9640384,53818634.86061038
Cooper Convertible,MINI,2023,ICE,3.0,1.5,Manual 6-spd,45222,3530.208333333333,31.0,0.0,0.0,37.3544,0.0,0.0,0.0,27.2824,35.6267,54.8991,0.0,60000.0,5554182.896571979,7122382.896571979,48266406.67844738,55388789.57501936
Cooper Hardtop 2 door,MINI,2023,ICE,3.0,1.5,Automatic (AM-S7),45227,3530.208333333333,32.0,0.0,0.0,38.1744,0.0,0.0,0.0,28.732700000000005,37.7728,56.2715,0.0,60000.0,5554182.896571979,7122382.896571979,46696251.9640384,53818634.86061038
Cooper Hardtop 2 door,MINI,2023,ICE,3.0,1.5,Manual 6-spd,45228,3530.208333333333,31.0,0.0,0.0,37.3544,0.0,0.0,0.0,27.2824,35.6267,54.8991,0.0,60000.0,5554182.896571979,7122382.896571979,48266406.67844738,55388789.57501936
Cooper Hardtop 4 door,MINI,2023,ICE,3.0,1.5,Automatic (AM-S7),45229,3530.208333333333,32.0,0.0,0.0,38.1744,0.0,0.0,0.0,28.732700000000005,37.7728,56.2715,0.0,60000.0,5554182.896571979,7122382.896571979,46696251.9640384,53818634.86061038
Cooper Hardtop 4 door,MINI,2023,ICE,3.0,1.5,Manual 6-spd,45230,3530.208333333333,31.0,0.0,0.0,37.3544,0.0,0.0,0.0,27.2824,35.6267,54.8991,0.0,60000.0,5554182.896571979,7122382.896571979,48266406.67844738,55388789.57501936
X2 M35i,BMW,2023,ICE,4.0,2.0,Automatic (S8),45231,3937.5,27.0,0.0,0.0,30.9548,0.0,0.0,0.0,23.7549,30.5245,44.4629,0.0,60000.0,6194987.119811767,7763187.119811767,57160702.14356241,64923889.26337417
Stinger AWD,Kia,2023,ICE,4.0,2.5,Automatic (S8),45235,4250.0,24.0,0.0,0.0,28.8967,0.0,0.0,0.0,20.5219,25.4537,39.014,0.0,60000.0,6686652.7642412735,8254852.7642412735,63045108.173976175,71299960.93821745
Stinger RWD,Kia,2023,ICE,4.0,2.5,Automatic (S8),45236,4250.0,25.0,0.0,0.0,31.5813,0.0,0.0,0.0,21.6699,27.6387,41.0734,0.0,60000.0,6686652.7642412735,8254852.7642412735,58411934.29339517,66666787.05763644
Stinger AWD,Kia,2023,ICE,6.0,3.3,Automatic (S8),45237,4250.0,20.0,0.0,0.0,24.3844,0.0,0.0,0.0,17.2255,20.9882,30.7697,0.0,60000.0,6686652.7642412735,8254852.7642412735,74857433.25759543,83112286.02183671
Stinger RWD,Kia,2023,ICE,6.0,3.3,Automatic (S8),45238,4250.0,20.0,0.0,0.0,25.2069,0.0,0.0,0.0,17.7679,22.0791,32.3866,0.0,60000.0,6686652.7642412735,8254852.7642412735,72472420.2686722,80727273.03291348
G90 AWD,Genesis,2023,ICE,6.0,3.5,Automatic (S8),45243,5428.571428571428,21.0,0.0,0.0,25.6084,0.0,0.0,0.0,18.0431,22.6,36.1,0.0,60000.0,8540934.623232549,10109134.623232549,71347456.7550058,81456591.37823835
Seltos FWD,Kia,2023,ICE,4.0,2.0,Automatic (AV-S8),45244,3458.333333333333,31.0,0.0,0.0,34.5703,0.0,0.0,0.0,29.3533,38.7,50.3,0.0,60000.0,5441099.798353192,7009299.798353192,49164174.88940233,56173474.687755525
E-Pace,Jaguar,2023,ICE,4.0,2.0,Automatic (S9),45247,4500.0,23.0,0.0,0.0,25.6807,0.0,0.0,0.0,20.4918,25.9478,37.3858,0.0,60000.0,7079985.279784877,8648185.279784877,67858335.33762862,76506520.61741349
Seltos AWD,Kia,2023,ICE,4.0,1.6,Automatic (AM-S7),45248,3458.333333333333,27.0,0.0,0.0,29.9076,0.0,0.0,0.0,25.0648,32.4,42.8,0.0,60000.0,5441099.798353192,7009299.798353192,57132882.81952687,64142182.61788007
Seltos AWD,Kia,2023,ICE,4.0,2.0,Automatic (AV-S8),45249,3458.333333333333,29.0,0.0,0.0,30.9153,0.0,0.0,0.0,26.8552,35.0,44.4,0.0,60000.0,5441099.798353192,7009299.798353192,54461843.792279735,61471143.59063293
CX-50 4WD,Mazda,2023,ICE,4.0,2.5,Automatic (S6),45250,4138.888888888889,27.0,0.0,0.0,30.2457,0.0,0.0,0.0,24.2067,31.1688,43.3355,0.0,60000.0,6511838.31288856,8080038.31288856,57548364.12908241,65628402.441970974
Cooper S Convertible,MINI,2023,ICE,4.0,2.0,Automatic (AM-S7),45260,3530.208333333333,30.0,0.0,0.0,36.0296,0.0,0.0,0.0,26.5817,34.6,52.6992,0.0,60000.0,5554182.896571979,7122382.896571979,49852028.34220921,56974411.23878119
Cooper S Convertible,MINI,2023,ICE,4.0,2.0,Manual 6-spd,45261,3530.208333333333,27.0,0.0,0.0,32.9713,0.0,0.0,0.0,23.244700000000005,29.8,47.70000000000001,0.0,60000.0,5554182.896571979,7122382.896571979,55402592.05234045,62524974.94891243
Cooper S Hardtop 2 door,MINI,2023,ICE,4.0,2.0,Automatic (AM-S7),45267,3530.208333333333,31.0,0.0,0.0,37.8335,0.0,0.0,0.0,27.7043,36.2481,55.69989999999999,0.0,60000.0,5554182.896571979,7122382.896571979,47608801.22709416,54731184.12366614
Cooper S Hardtop 2 door,MINI,2023,ICE,4.0,2.0,Manual 6-spd,45268,3530.208333333333,27.0,0.0,0.0,33.3751,0.0,0.0,0.0,22.93,29.3548,48.3537,0.0,60000.0,5554182.896571979,7122382.896571979,55247106.30115879,62369489.19773077
Cooper S Hardtop 4 door,MINI,2023,ICE,4.0,2.0,Automatic (AM-S7),45269,3530.208333333333,31.0,0.0,0.0,37.8335,0.0,0.0,0.0,27.7043,36.2481,55.69989999999999,0.0,60000.0,5554182.896571979,7122382.896571979,47608801.22709416,54731184.12366614
Cooper S Hardtop 4 door,MINI,2023,ICE,4.0,2.0,Manual 6-spd,45270,3530.208333333333,27.0,0.0,0.0,33.3751,0.0,0.0,0.0,22.93,29.3548,48.3537,0.0,60000.0,5554182.896571979,7122382.896571979,55247106.30115879,62369489.19773077
X2 xDrive28i,BMW,2023,ICE,4.0,2.0,Automatic (S8),45274,3937.5,27.0,0.0,0.0,30.9548,0.0,0.0,0.0,23.7549,30.5245,44.4629,0.0,60000.0,6194987.119811767,7763187.119811767,57160702.14356241,64923889.26337417
