,VehicleID_x,Year_x,MFRCode,Make,Model,Range,RangeHwy,atvType,UHighway,UCity,city08U,highway08U,VehicleID_y,Year_y,CurbWeight
193,46070,2023,HNX,acura,rdx awd a-spec,0,0.0,ICE,38.3945,26.4413,20.8483,25.8195,7,2023.0,4087.0
194,46076,2023,TYX,toyota,rav4 awd trd offroad,0,0.0,ICE,45.7,32.1,24.8563,31.7289,402,2023.0,3660.0
195,46079,2023,TYX,toyota,venza awd,0,0.0,HEV,51.9846,54.4603,40.047,37.0298,407,2023.0,3860.0
196,46085,2023,PRX,porsche,911 gt3 touring,0,0.0,ICE,25.4,18.5,14.9703,18.4653,338,2023.0,3263.0
197,46086,2023,PRX,porsche,911 gt3 touring,0,0.0,ICE,25.9,17.1,13.9018,18.0,338,2023.0,3263.0
198,46113,2023,PRX,porsche,911 targa 4 gts,0,0.0,ICE,31.6,21.6,17.3012,22.0,339,2023.0,3796.0
199,46114,2023,PRX,porsche,911 targa 4 gts,0,0.0,ICE,34.0,20.7,16.0,23.0,339,2023.0,3796.0
200,46118,2023,PRX,porsche,911 turbo s,0,0.0,ICE,28.9,19.0,15.3495,20.0,340,2023.0,3635.0
201,46119,2023,PRX,porsche,911 turbo s cabriolet,0,0.0,ICE,28.5,18.2,14.7421,20.0,341,2023.0,3790.0
202,46129,2023,HNX,acura,tlx type-s perf tire,0,0.0,ICE,35.2,24.0,19.0736,24.0,9,2023.0,4215.0
203,46134,2023,TYX,lexus,ls 500h awd,0,0.0,HEV,39.0,29.2,22.0,28.5542,227,2023.0,5080.0
204,46136,2023,TYX,lexus,ls 500 awd,0,0.0,ICE,39.3533,22.1,17.0,27.0,226,2023.0,4900.0
205,46137,2023,HNX,honda,civic 5dr,0,0.0,ICE,58.5,42.1,31.0,39.4957,147,2023.0,3037.065
206,46137,2023,HNX,honda,civic 5dr,0,0.0,ICE,58.5,42.1,31.0,39.4957,148,2023.0,3194.0
207,46138,2023,HNX,honda,civic 5dr,0,0.0,ICE,54.9,40.2,30.3497,37.3549,147,2023.0,3037.065
208,46138,2023,HNX,honda,civic 5dr,0,0.0,ICE,54.9,40.2,30.3497,37.3549,148,2023.0,3194.0
209,46139,2023,HNX,honda,civic 5dr,0,0.0,ICE,54.9,36.2,27.6717,37.3549,147,2023.0,3037.065
210,46139,2023,HNX,honda,civic 5dr,0,0.0,ICE,54.9,36.2,27.6717,37.3549,148,2023.0,3194.0
211,46140,2023,HNX,honda,civic 5dr,0,0.0,ICE,53.8,37.8,28.7509,36.6941,147,2023.0,3037.065
212,46140,2023,HNX,honda,civic 5dr,0,0.0,ICE,53.8,37.8,28.7509,36.6941,148,2023.0,3194.0
213,46141,2023,HNX,honda,civic 5dr,0,0.0,ICE,52.5,33.9,26.1013,35.909,147,2023.0,3037.065
214,46141,2023,HNX,honda,civic 5dr,0,0.0,ICE,52.5,33.9,26.1013,35.909,148,2023.0,3194.0
215,46142,2023,HNX,honda,civic 5dr,0,0.0,ICE,40.199,26.4491,21.7346,28.0,147,2023.0,3037.065
216,46142,2023,HNX,honda,civic 5dr,0,0.0,ICE,40.199,26.4491,21.7346,28.0,148,2023.0,3194.0
217,46150,2023,TYX,lexus,nx 350 awd,0,0.0,ICE,41.4673,29.095,22.0,29.0627,228,2023.0,4035.0
218,46151,2023,TYX,lexus,nx 350 awd,0,0.0,ICE,40.6,28.7,22.4655,28.0,228,2023.0,4035.0
219,46153,2023,MTX,mitsubishi,outlander sport 4wd,0,0.0,ICE,41.8169,30.1356,23.4813,29.2848,255,2023.0,3324.0
220,46154,2023,MTX,mitsubishi,outlander sport 4wd,0,0.0,ICE,40.4965,29.5312,23.0548,28.4441,255,2023.0,3324.0
221,46155,2023,TYX,toyota,highlander awd,0,0.0,ICE,39.3,27.0,21.2505,27.6779,397,2023.0,4370.0
222,46156,2023,BMX,bmw,alpina xb7,0,0.0,HEV,28.0,19.2,15.5008,20.2334,40,2023.0,5948.327683615819
223,46202,2023,FMX,ford,bronco raptor 4wd,0,0.0,ICE,24.0,18.5,14.9703,15.8555,97,2023.0,5725.0
224,46204,2023,TSL,tesla,model 3 long range awd,358,345.4,EV,173.4,184.5,134.2791,126.2005,410,2023.0,4052.0
225,46205,2023,TSL,tesla,model 3 performance awd,315,299.0,EV,143.1,157.3,117.5346,106.9243,411,2023.0,4065.0
226,46206,2023,TSL,tesla,model 3 rwd,272,260.6,EV,170.1,185.3,137.5297,126.2482,412,2023.0,3880.0
227,46211,2023,TSL,tesla,model y awd,279,263.3,EV,150.9,167.3,128.5031,115.9063,419,2023.0,4356.0
228,46212,2023,TSL,tesla,model y long range awd,330,315.7,EV,152.1,164.8,126.5829,116.828,420,2023.0,4381.0
229,46213,2023,TSL,tesla,model y performance awd,303,0.0,EV,137.5,149.6,114.9078,105.6138,421,2023.0,4416.0
230,46218,2023,TYX,toyota,gr corolla,0,0.0,ICE,40.295,26.8912,21.1723,28.3153,396,2023.0,3270.0
231,46245,2023,VGA,bentley,flying spur hybrid,0,0.0,PHEV,30.5,21.5,17.2268,21.9137,38,2023.0,5690.0
232,46248,2023,BMX,bmw,x5 xdrive45e,0,0.0,PHEV,31.9,24.3,19.2381,22.0961,49,2023.0,5646.0
233,46249,2023,CRX,chrysler,pacifica hybrid,0,0.0,PHEV,42.7998,42.7429,29.4158,29.6499,79,2023.0,5069.0
234,46252,2023,CRX,jeep,wrangler 4dr 4xe,0,0.0,PHEV,29.8,27.6,20.3076,19.8362,194,2023.0,5361.0
235,46253,2023,CRX,jeep,grand cherokee 4xe,0,0.0,PHEV,37.4,30.3,22.8474,24.299,187,2023.0,5396.0
236,46258,2023,PRX,porsche,panamera turbo s e-hybrid,0,0.0,PHEV,30.1,22.3,17.8416,21.6794,352,2023.0,5408.0
237,46259,2023,PRX,porsche,cayenne turbo s e-hybrid,0,0.0,PHEV,26.9,21.2,17.0142,19.5061,346,2023.0,5677.0
238,46264,2023,CRX,dodge,challenger,0,0.0,ICE,43.1,23.9,19.0003,30.0971,80,2023.0,4211.0
239,46265,2023,CRX,dodge,challenger,0,0.0,ICE,35.1989,19.8,15.9536,25.0202,80,2023.0,4211.0
240,46266,2023,CRX,dodge,challenger,0,0.0,ICE,32.6,18.7,15.1221,23.3102,80,2023.0,4211.0
241,46267,2023,CRX,dodge,challenger,0,0.0,ICE,34.2974,18.1912,14.7354,24.4293,80,2023.0,4211.0
242,46268,2023,CRX,dodge,challenger,0,0.0,ICE,31.4,17.3,14.0551,22.5138,80,2023.0,4211.0
