,alph_index,Material,     VOC,     CO,     NOx ,     PM10,     PM2.5,     SOx,     BC,     OC,     CH4,     N2O,     CO2,"     CO2 (VOC, CO, CO2)",     GHGs
78,ca,Coolant,0.1253111673199528,0.2560836215988666,0.347459718356809,0.020603133944275386,0.017618741096339652,0.12172344516742571,0.002021836679107197,0.006220688936917568,1.3955660345454604,0.006046407009967283,233.93845234493904,234.7314226027416,277.9699595459174
79,cb,Silicon,6.942012659357121,25.189640844821152,42.15235581595926,7.429220469618408,3.7028083985786733,45.37307565857307,0.20635154404561543,0.5233837989573104,109.24798958803075,1.2847975347957212,50098.36840561126,50159.58806639383,53765.927883116376
80,cc,Silicon as anode material,3.3465246123113968,11.608315348817465,18.698212575084973,3.4380197000941886,1.705991905006695,21.135250582652134,0.08722897218403526,0.23307830327140927,50.90772051830384,0.49532476263663444,22570.90190857635,22599.573548690005,24251.84728033526
81,cd,Molybdenum,2.1826436452266558,18.896943836999,13.713683000760948,2.297924537219346,0.7283321563663574,1.534318535686285,0.030651146481841526,0.06197839484977037,14.688066159107873,0.06475912630251218,10903.533145652265,10940.030915804698,11395.4145288267
82,ce,Nylon 6,0.4851457964864794,4.523830536795981,7.183177668782951,0.4373178888847811,0.23374181814991588,1.7545200497897613,0.02323848762694016,0.04854748775827832,9.55019036798243,4.079639633035241,3007.909630245873,3016.5305445360777,4414.867837320575
83,cf,Epoxy resin,0.5191172618254598,2.2182710665239416,3.627513091269928,3.3723916142816095,0.501739784100301,1.5408420320311642,0.022156784068473167,0.05004884947948266,9.92192413090802,0.07930900400389124,2526.9070133592504,2532.010783358382,2849.335480552503
84,cg,Nd(Dy)FeB magnet,3.1575928917650713,7.43170873392849,9.572811663664012,10.708905679783916,2.293613863956155,13.757457449054487,0.04828810589304189,0.11278354646731487,33.63365865378065,1.6702228819731872,11571.120912239458,11592.640476191158,13050.8943508525
85,ch,Alumina,0.06326170201998563,0.26136323456217275,0.6455315279708834,0.02401137378126561,0.020648223484216213,0.11120201647161047,0.003379646975204973,0.007661113935111636,1.001934326206004,0.009649378394234683,413.9516727248569,414.5595520171312,447.0514752396962
86,ci,Gold,4.819826520798464,21.47507059891055,45.25331398840595,8.313471840326143,3.6436606645973417,57.284360477160185,0.17218851769479174,0.3003014353578538,86.56379256280651,1.1629357124896647,54439.99165404313,54488.75998621219,57385.84245409351
87,cj,Zinc oxide,0.250931100982814,0.9933268700842679,2.56916127921708,1.1765031348204416,0.5785040269103895,2.0435653909959877,0.016450105692465185,0.027392874477653276,4.352207602547325,0.04048026674336515,2740.8326015145626,2743.1756123370437,2883.9225117138926
88,ck,Polyurethane,0.4610967213004428,3.236869687726569,1.8382600243093634,0.18731441634547114,0.0970150880330356,6.210952488333358,0.014689783005652834,0.025195201601421757,9.10328169272216,0.04153269531141646,1267.5255607842498,1274.0491550749207,1556.6653753380579
89,cl,Paint,0.027413856145046864,0.08063754254095634,0.13119881598217933,0.017427975032311836,0.010583196531358896,0.10609248914089565,0.0007418465747618699,0.002687092822089266,0.3689214200267038,0.003072290216076807,142.24844260556497,142.46059859549572,154.29319214128046
90,cm,Argon,0.4577560010274817,1.6393654431511397,2.9699071020516747,0.4476429786658152,0.24556573226141773,2.6217867266555523,0.012896271620688038,0.0626621575582116,8.196065876085145,0.07855823861496655,3865.5961229540208,3869.59894152027,4135.288103769493
