Model,Make,Year,atvType,cylinders,displ,trany,VehicleID,AdjWeight,comb08,combinedUF,combE,highway08,rangeHwyA,RangeHwy,Range,city08,UCity,UHighway,battery_assembly,battery_manufacture,vehicle_manufacture,total_embodied,usage,total
Integra,Acura,2000,ICE,4.0,1.8,Manual 5-spd,24,3017.8571428571427,24.0,0.0,0.0,28.0,0.0,0.0,0.0,22.0,28.0294,39.7852,0.0,60000.0,4748085.366204937,6316285.366204937,79455588.6843026,85771874.05050753
Continental SC,Bentley,2000,ICE,8.0,6.7,Automatic 4-spd,25,4250.0,12.0,0.0,0.0,15.0,0.0,0.0,0.0,10.0,12.3823,20.0411,0.0,60000.0,6686652.7642412735,8254852.7642412735,157664815.19316518,165919667.95740646
Continental T,Bentley,2000,ICE,8.0,6.7,Automatic 4-spd,26,4250.0,12.0,0.0,0.0,15.0,0.0,0.0,0.0,10.0,12.4896,20.4167,0.0,60000.0,6686652.7642412735,8254852.7642412735,157664815.19316518,165919667.95740646
Camaro,Chevrolet,2000,ICE,6.0,3.8,Automatic 4-spd,27,3781.25,20.0,0.0,0.0,26.0,0.0,0.0,0.0,17.0,21.0237,36.9159,0.0,60000.0,5949154.297597013,7517354.297597013,91582068.05069959,99099422.34829661
Camaro,Chevrolet,2000,ICE,6.0,3.8,Manual 5-spd,28,3781.25,21.0,0.0,0.0,28.0,0.0,0.0,0.0,17.0,21.3912,38.8618,0.0,60000.0,5949154.297597013,7517354.297597013,87211557.21096988,94728911.50856689
Camaro,Chevrolet,2000,ICE,8.0,5.7,Automatic 4-spd,29,3781.25,18.0,0.0,0.0,23.0,0.0,0.0,0.0,15.0,18.4,32.2,0.0,60000.0,5949154.297597013,7517354.297597013,103619917.20169362,111137271.49929065
Camaro,Chevrolet,2000,ICE,8.0,5.7,Manual 6-spd,30,3781.25,19.0,0.0,0.0,25.0,0.0,0.0,0.0,16.0,20.362,34.8622,0.0,60000.0,5949154.297597013,7517354.297597013,95953527.14619838,103470881.44379538
Cavalier,Chevrolet,2000,ICE,4.0,2.2,Automatic 3-spd,31,3208.333333333333,22.0,0.0,0.0,26.0,0.0,0.0,0.0,20.0,25.1,36.9,0.0,60000.0,5047767.282809587,6615967.282809587,86275810.88896377,92891778.17177336
Cavalier,Chevrolet,2000,ICE,4.0,2.2,Automatic 4-spd,32,3208.333333333333,23.0,0.0,0.0,29.0,0.0,0.0,0.0,20.0,25.7476,40.0,0.0,60000.0,5047767.282809587,6615967.282809587,80570196.14079584,87186163.42360543
Cavalier,Chevrolet,2000,ICE,4.0,2.2,Manual 5-spd,33,3208.333333333333,24.0,0.0,0.0,31.0,0.0,0.0,0.0,21.0,26.5,43.4,0.0,60000.0,5047767.282809587,6615967.282809587,75857599.76274928,82473567.04555887
Cavalier,Chevrolet,2000,ICE,4.0,2.4,Automatic 4-spd,34,3208.333333333333,23.0,0.0,0.0,28.0,0.0,0.0,0.0,19.0,24.5,39.1,0.0,60000.0,5047767.282809587,6615967.282809587,83934296.18842822,90550263.47123781
Cavalier,Chevrolet,2000,ICE,4.0,2.4,Manual 5-spd,35,3208.333333333333,24.0,0.0,0.0,30.0,0.0,0.0,0.0,20.0,25.1,42.5,0.0,60000.0,5047767.282809587,6615967.282809587,78832407.59658259,85448374.87939218
Metro,Chevrolet,2000,ICE,3.0,1.0,Manual 5-spd,36,2291.6666666666665,36.0,0.0,0.0,41.0,0.0,0.0,0.0,32.0,42.9,59.0,0.0,60000.0,3605548.059149706,5173748.059149706,54403961.940808006,59577709.99995771
Metro,Chevrolet,2000,ICE,4.0,1.3,Automatic 3-spd,37,2291.6666666666665,28.0,0.0,0.0,31.0,0.0,0.0,0.0,26.0,33.5415,44.0995,0.0,60000.0,3605548.059149706,5173748.059149706,69920918.0421863,75094666.10133602
