,Unnamed: 0,VehicleID_x,Year_x,MFRCode,Make,Model,Range,RangeHwy,atvType,UHighway,UCity,city08U,highway08U,VehicleID_y,Year_y,CurbWeight,embodied_emissions,usage_emissions,total_emissions
86,86,45556,2023,MAX,maserati,grecale trofeo,0,0.0,ICE,34.5074,22.1534,17.7124,24.6536,260,2023.0,4634.0,7475791.435096813,34107921.05200001,41583712.487096824
87,87,45557,2023,MAX,maserati,grecale modena,0,0.0,HEV,41.9841,28.336,22.2065,29.3909,259,2023.0,4431.0,6478675.8696428435,41439376.864,47918052.73364285
88,88,45571,2023,VGA,audi,sq8,0,0.0,ICE,28.5063,18.4612,14.3825,20.4043,36,2023.0,5335.0,8501664.45969821,28031611.058000002,36533275.51769821
89,89,45580,2023,GMX,cadillac,escalade 4wd,0,0.0,ICE,38.8,25.5,20.1673,26.0,62,2023.0,6310.0,9928520.663673047,37031126.49700001,46959647.16067305
90,90,45633,2023,GMX,cadillac,escalade 4wd,0,0.0,ICE,26.9024,17.4975,14.2062,18.0933,62,2023.0,6310.0,9928520.663673047,25892331.141000006,35820851.80467305
91,91,45584,2023,GMX,gmc,yukon xl 4wd,0,0.0,ICE,38.8,25.5,20.1673,26.0,131,2023.0,6121.70351758794,9652959.633810189,37031126.49700001,46684086.1308102
92,92,45638,2023,GMX,gmc,yukon xl 4wd,0,0.0,ICE,26.9024,17.4975,14.2062,18.0933,131,2023.0,6121.70351758794,9652959.633810189,25892331.141000006,35545290.774810195
93,93,45640,2023,GMX,gmc,yukon xl 4wd,0,0.0,ICE,28.3563,19.0324,14.6846,18.6011,131,2023.0,6121.70351758794,9652959.633810189,26675828.935000006,36328788.568810195
94,94,45589,2023,VVX,volvo,xc90 b5 awd,0,0.0,HEV,40.0,28.5,22.3233,28.1266,434,2023.0,4662.0,6780236.223036548,40421045.183000006,47201281.406036556
95,95,45590,2023,VVX,volvo,xc90 b6 awd,0,0.0,HEV,36.6,24.8996,19.7308,25.9337,435,2023.0,4764.0,6913392.742716883,36662182.159,43575574.90171689
96,96,45606,2023,TYX,lexus,ux 250h awd,0,0.0,HEV,54.8993,55.9496,41.2367,38.0,233,2023.0,3660.0,5472169.2355885375,62507011.06300001,67979180.29858854
97,97,45608,2023,HYX,hyundai,venue,0,0.0,ICE,49.5554,37.7482,29.3821,32.7368,166,2023.0,2737.0,4699641.466952952,49470106.477000006,54169747.943952955
98,98,45617,2023,BMX,bmw,x1 xdrive28i,0,0.0,ICE,48.7574,31.7179,24.5902,33.6238,43,2023.0,3750.0,6182108.476826295,46826860.856,53008969.332826294
99,99,45629,2023,VGA,audi,q7,0,0.0,HEV,33.4,22.8,18.1909,21.5764,29,2023.0,5049.0,7285447.724176646,31767843.785000004,39053291.50917665
100,100,45706,2023,VGA,audi,q7,0,0.0,ICE,34.9,24.2,19.22,24.8246,29,2023.0,5049.0,8083119.973198923,35331668.026,43414787.99919892
101,101,45630,2023,VGA,audi,q8,0,0.0,HEV,33.5,23.1,18.4122,22.5678,11,2023.0,5115.0,7371607.825146275,32789423.076000005,40161030.90114628
102,102,45631,2023,BMX,bmw,x7 xdrive40i,0,0.0,HEV,34.6868,26.299,20.7456,24.6849,50,2023.0,5424.0,7774993.752413176,36297531.003000006,44072524.75541318
103,103,45643,2023,VGA,audi,r8 coupe quattro,0,0.0,ICE,24.8001,15.7331,13.3031,18.4457,30,2023.0,1800.0,3328396.068876622,25555569.826000005,28883965.894876625
104,104,45652,2023,KMX,kia,rio,0,0.0,ICE,60.4774,43.4723,32.4918,40.6575,205,2023.0,2731.0,4690860.81339003,58588365.627,63279226.44039003
105,105,45661,2023,VGA,audi,s7,0,0.0,HEV,36.9,24.0,19.0736,26.1286,34,2023.0,4784.0,6939501.864222831,36363489.17,43302991.034222834
106,106,45671,2023,VGA,volkswagen,arteon 4motion,0,0.0,ICE,43.2,28.4,22.4551,30.506,427,2023.0,3935.0,6452845.295016391,42588199.099000014,49041044.39401641
107,107,45678,2023,VGA,volkswagen,atlas,0,0.0,ICE,38.0,27.3,21.4659,25.2214,422,2023.0,4694.0,7563597.970726035,37278483.48500001,44842081.45572604
108,108,45680,2023,VGA,volkswagen,atlas,0,0.0,ICE,33.8,23.1,18.4122,24.1023,422,2023.0,4694.0,7563597.970726035,34126448.271000005,41690046.24172604
109,109,45682,2023,VGA,volkswagen,taos,0,0.0,ICE,52.4,36.8,28.0777,35.8485,424,2023.0,3505.0,5823565.123006977,51251468.08800001,57075033.211006984
110,110,45684,2023,VGA,audi,q5 s-line quattro,0,0.0,HEV,39.0555,28.414,22.1292,28.5808,28,2023.0,4619.0,6724101.611798758,40678422.236,47402523.84779876
111,111,45686,2023,HYX,hyundai,tucson hybrid,0,0.0,HEV,48.0,50.7,37.3332,35.7681,163,2023.0,3714.0,5542663.863654598,57779568.159,63322232.0226546
112,112,45705,2023,VGA,audi,rs q8,0,0.0,HEV,26.9985,16.9487,13.4189,19.7539,31,2023.0,5622.0,8033474.055322065,26777970.230000008,34811444.28532207
113,113,45709,2023,PRX,porsche,cayenne s coupe,0,0.0,ICE,29.2,20.3,16.3295,21.0424,344,2023.0,4753.0,7649941.064094769,29975590.799000002,37625531.86309477
114,114,45719,2023,TYX,toyota,camry,0,0.0,ICE,47.8,28.6,22.3944,33.0332,391,2023.0,3425.0,5706489.742168016,44746901.308000006,50453391.05016802
115,115,45739,2023,HNX,honda,ridgeline awd,0,0.0,ICE,33.3,23.6,18.0,23.7728,154,2023.0,4526.0,7317739.670964217,33545498.36800001,40863238.03896423
116,116,45750,2023,GMX,chevrolet,bolt euv,247,0.0,EV,149.0,178.2,124.74,104.3,67,2023.0,3717.0,5842101.064130421,23323773.87325631,29165874.937386733
117,117,45756,2023,TYX,toyota,bz4x,252,0.0,EV,153.4,186.6,130.62,107.38,408,2023.0,4295.0,6642608.681850998,22464754.044254355,29107362.726105355
118,118,45759,2023,TYX,toyota,bz4x limited awd,222,0.0,EV,138.4,167.1,112.0,92.0,409,2023.0,4490.0,6912676.130735967,26209917.693731137,33122593.824467104
119,119,45760,2023,VVX,volvo,c40 recharge twin,226,0.0,EV,112.4,132.0,94.3602,80.3491,432,2023.0,4769.0,7299080.326832924,30549066.22782044,37848146.55465336
120,120,45761,2023,VVX,volvo,xc40 recharge twin,223,0.0,EV,109.9,128.4,91.9344,78.6884,433,2023.0,4749.0,7271381.101306261,31272650.11756586,38544031.21887212
121,121,45763,2023,MAX,maserati,mc20 spyder,0,0.0,ICE,31.8508,18.1829,15.0516,24.9347,263,2023.0,3781.0,6227475.186901392,32455988.581,38683463.76790139
122,122,45766,2023,NSX,nissan,kicks,0,0.0,ICE,52.6025,41.2,31.0089,35.9711,322,2023.0,2710.0,4660128.5259198025,53447913.862,58108042.387919806
123,123,45767,2023,VGA,lamborghini,urus performante,0,0.0,ICE,26.0,17.4,14.1316,18.8752,235,2023.0,5115.0,8179707.162391067,26520426.836000003,34700133.99839107
124,124,45828,2023,GMX,gmc,terrain awd,0,0.0,ICE,40.3619,30.4899,23.7306,28.3581,130,2023.0,3762.0,6199669.783952139,41626003.545,47825673.32895214
125,125,45833,2023,NSX,nissan,pathfinder 4wd rock creek,0,0.0,ICE,35.2,24.9,19.7311,23.4195,327,2023.0,4616.0,7449449.474408047,34471748.424,41921197.89840805
126,126,45834,2023,PRX,porsche,macan,0,0.0,ICE,35.6,24.9676,19.0,25.2823,348,2023.0,4191.0,6827486.513701067,35573630.813,42401117.32670107
127,127,45839,2023,FJX,subaru,forester wilderness awd,0,0.0,ICE,40.4,31.9,24.7171,28.3824,385,2023.0,3636.0,6015276.059130776,42350442.363,48365718.42213077
128,128,45848,2023,JLX,land rover,new range rover,0,0.0,ICE,31.9035,19.3349,15.6027,21.1145,219,2023.0,5950.0,9401681.449897721,29520283.798,38921965.24789772
129,129,45851,2023,JLX,land rover,new range rover,0,0.0,ICE,31.9035,19.3349,15.6027,21.1145,219,2023.0,5950.0,9401681.449897721,29520283.798,38921965.24789772
130,130,45852,2023,TYX,lexus,gx 460,0,0.0,ICE,26.3,17.9,14.5136,19.0798,223,2023.0,5330.0,8494347.248395775,26971020.842000004,35465368.09039578
131,131,45856,2023,TYX,toyota,4runner 4wd,0,0.0,ICE,28.059,19.6898,15.8705,18.9368,389,2023.0,4675.0,7535792.567776781,27813743.953000005,35349536.520776786
132,132,45857,2023,TYX,toyota,4runner 4wd,0,0.0,ICE,27.7,19.6,15.8028,18.6887,389,2023.0,4675.0,7535792.567776781,27549309.289000005,35085101.85677679
133,133,45860,2023,VGA,bentley,continental gt,0,0.0,ICE,30.3,18.7,15.4062,22.591,57,2023.0,5450.0,8669960.319654215,30666690.128000006,39336650.44765422
134,134,45862,2023,TYX,lexus,es 300h,0,0.0,HEV,60.7324,59.72,43.0,44.3348,222,2023.0,3730.0,5563551.160859357,69283624.58800001,74847175.74885938
135,135,45866,2023,TYX,toyota,tacoma 4wd,0,0.0,ICE,31.2566,22.7063,18.1217,22.4184,404,2023.0,4399.347826086957,7132391.527277319,32452154.817000005,39584546.34427732
136,136,45867,2023,TYX,toyota,tacoma 4wd,0,0.0,ICE,28.5,21.3,17.0777,20.571,404,2023.0,4399.347826086957,7132391.527277319,30098239.563,37230631.09027732
137,137,45869,2023,TYX,toyota,tacoma 4wd,0,0.0,ICE,31.0,23.3,18.5595,22.2474,404,2023.0,4399.347826086957,7132391.527277319,32615264.049000002,39747655.57627732
138,138,45876,2023,TYX,toyota,tundra 4wd,0,0.0,ICE,31.5,21.6,17.3012,22.5804,405,2023.0,5665.0,8984600.405658923,32008380.792000003,40992981.197658926
139,139,45877,2023,TYX,toyota,tundra 4wd,0,0.0,ICE,31.1448,21.7725,17.4296,22.3439,405,2023.0,5665.0,8984600.405658923,31893851.053000007,40878451.45865893
140,140,45878,2023,TYX,toyota,tundra 4wd,0,0.0,HEV,31.1,23.7491,18.8896,22.3141,405,2023.0,5665.0,8089608.666559854,32908705.415,40998314.08155985
141,141,45879,2023,TYX,toyota,tundra 4wd pro,0,0.0,HEV,28.1,22.9,18.2647,20.301,406,2023.0,6105.0,8664009.339690715,30709186.292999998,39373195.63269071
142,142,45890,2023,CRX,dodge,durango awd,0,0.0,ICE,35.4,23.4,18.0,25.1517,84,2023.0,5020.9375,8042052.124764006,34746947.727000006,42788999.85176401
143,143,45891,2023,CRX,dodge,durango awd,0,0.0,ICE,30.1,17.3,14.0551,21.6461,84,2023.0,5020.9375,8042052.124764006,28880203.630000003,36922255.754764006
144,144,45901,2023,VGA,bentley,flying spur,0,0.0,ICE,28.8,18.6,14.812,21.7771,58,2023.0,5401.0,8598251.648890352,29533931.681000005,38132183.329890355
145,145,45902,2023,VGA,bentley,flying spur,0,0.0,ICE,26.5,15.0,12.2803,19.216,58,2023.0,5401.0,8598251.648890352,25497596.027,34095847.67589035
146,146,45903,2023,GMX,chevrolet,malibu,0,0.0,ICE,50.3074,35.8834,27.4569,34.5748,71,2023.0,3134.0,5280628.044366296,49699118.429000005,54979746.473366305
147,147,45905,2023,VGA,bentley,bentayga,0,0.0,ICE,29.6,18.3,14.4974,21.0289,54,2023.0,5437.0,8650935.570267884,28657742.345000003,37308677.915267885
148,148,45907,2023,VGA,bentley,bentayga speed,0,0.0,ICE,25.5,14.9,12.2026,18.5337,56,2023.0,5672.0,8994844.501482332,24847709.661000002,33842554.162482336
149,149,45928,2023,TYX,lexus,is 300,0,0.0,ICE,44.7,27.1,21.3224,31.1035,224,2023.0,3760.0,6196742.899431164,42301316.321,48498059.220431164
