Model,Make,Year,atvType,cylinders,displ,trany,VehicleID,AdjWeight,comb08,combinedUF,combE,highway08U,rangeHwyA,RangeHwy,Range,city08U,UCity,UHighway
XK,Jaguar,2010,ICE,8.0,5.0,Automatic (S6),0,4125.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7197,32.8808
XK Convertible,Jaguar,2010,ICE,8.0,5.0,Automatic (S6),1,4125.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4171,30.8027
S5,Audi,2010,ICE,8.0,4.2,Manual 6-spd,2,4250.0,17.0,0.0,0.0,21.9,0.0,0.0,0.0,14.3,17.3,29.3
S5,Audi,2010,ICE,8.0,4.2,Automatic (S6),3,4250.0,19.0,0.0,0.0,24.2,0.0,0.0,0.0,16.5,20.4,31.0
Mustang,Ford,2010,ICE,6.0,4.0,Automatic 5-spd,4,3869.485294117647,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3374,32.7568
Mustang,Ford,2010,ICE,6.0,4.0,Manual 5-spd,5,3869.485294117647,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.347,36.3926
Mustang,Ford,2010,ICE,8.0,4.6,Automatic 5-spd,6,3869.485294117647,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2165,32.1109
Mustang,Ford,2010,ICE,8.0,4.6,Manual 5-spd,7,3869.485294117647,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,33.8
Mustang,Ford,2010,ICE,8.0,5.4,Manual 6-spd,8,3869.485294117647,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,30.4
Genesis Coupe,Hyundai,2010,ICE,4.0,2.0,Automatic 5-spd,9,4000.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.2,41.7998
Genesis Coupe,Hyundai,2010,ICE,4.0,2.0,Manual 6-spd,10,4000.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,42.0
Genesis Coupe,Hyundai,2010,ICE,6.0,3.8,Automatic 6-spd,11,4000.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.9,38.0484
Genesis Coupe,Hyundai,2010,ICE,6.0,3.8,Manual 6-spd,12,4000.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7,36.4
IS 250/IS 250C,Lexus,2010,ICE,6.0,2.5,Manual 6-spd,13,4093.75,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6596,36.7047
IS 250/IS 250C,Lexus,2010,ICE,6.0,2.5,Automatic (S6),14,4093.75,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.2372,40.8247
IS 350/IS 350C,Lexus,2010,ICE,6.0,3.5,Automatic (S6),15,4093.75,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7156,36.5564
Insight,Honda,2010,HEV,4.0,1.3,Automatic (AV-S7),16,3000.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.3737,62.2674
Insight,Honda,2010,HEV,4.0,1.3,Automatic (variable gear ratios),17,3000.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.6779,61.2
Forte,Kia,2010,ICE,4.0,2.0,Automatic 5-spd,18,3171.875,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.3743,50.9
Forte,Kia,2010,ICE,4.0,2.0,Automatic 4-spd,19,3171.875,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.1433,47.2964
Forte,Kia,2010,ICE,4.0,2.0,Manual 5-spd,20,3171.875,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.6,47.4
Forte,Kia,2010,ICE,4.0,2.4,Automatic 5-spd,21,3171.875,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.8947,44.344
Forte,Kia,2010,ICE,4.0,2.4,Manual 6-spd,22,3171.875,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.3,44.6
Corolla,Toyota,2010,ICE,4.0,1.8,Automatic 4-spd,23,3286.458333333333,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.2,48.4
Corolla,Toyota,2010,ICE,4.0,1.8,Manual 5-spd,24,3286.458333333333,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,50.0
Corolla,Toyota,2010,ICE,4.0,2.4,Manual 5-spd,25,3286.458333333333,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.3,42.2
Corolla,Toyota,2010,ICE,4.0,2.4,Automatic (S5),26,3286.458333333333,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.6,42.6
A6 quattro,Audi,2010,ICE,8.0,4.2,Automatic (S6),27,4375.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8911,31.5002
A8,Audi,2010,ICE,8.0,4.2,Automatic (S6),28,4750.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8911,31.5002
Fusion AWD,Ford,2010,ICE,6.0,3.5,Automatic (S6),29,3687.5,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6981,33.5
Fusion AWD FFV,Ford,2010,FCV,6.0,3.0,Automatic (S6),30,3687.5,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,35.4655
Fusion FWD,Ford,2010,ICE,4.0,2.5,Automatic 6-spd,31,3687.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.6878,42.908
Fusion FWD,Ford,2010,ICE,4.0,2.5,Manual 6-spd,32,3687.5,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8,40.2
Fusion FWD,Ford,2010,ICE,6.0,3.5,Automatic (S6),33,3687.5,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.4,37.4
Fusion FWD FFV,Ford,2010,FCV,6.0,3.0,Automatic 6-spd,34,3687.5,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,37.9
Fusion Hybrid FWD,Ford,2010,HEV,4.0,2.5,Automatic (variable gear ratios),35,3687.5,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.5,51.6
