Vehicle,Battery Manufacturing,Vehicle Parts,Use Phase,Disposal,Total
ICE,60,6031.098571,67344.2678,874.2,74943.56637
BEV,5111.774148,5737.702151,25277.66208,1530.3255,37739.46388
